GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new InputMethodListener() {...},6,6,0,0,3,1,2,1,2,1
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
recipe-cost-calculator-app,com.turankanbur.calculator,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacaderRegister,30,97,1,7,6,30,1,7,0,4
recipe-cost-calculator-app,com.turankanbur.calculator,LERIngMenu,0,446,0,0,0,90,0,5,0,5
recipe-cost-calculator-app,com.turankanbur.calculator,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
recipe-cost-calculator-app,com.turankanbur.calculator,DBFacadeAddIng,23,97,1,3,8,33,3,5,2,4
recipe-cost-calculator-app,com.turankanbur.calculator,IngredientMenu,0,336,0,0,0,68,0,2,0,2
